mes,pib_mensal
1990.01,0.7
1990.02,1.1
1990.03,1.8
1990.04,2.5
1990.05,3.3
1990.06,4
1990.07,4.9
1990.08,5.9
1990.09,7
1990.10,8.3
1990.11,9.9
1990.12,11.5
1991.01,13.4
1991.02,15.4
1991.03,17.1
1991.04,19.5
1991.05,22.3
1991.06,25.6
1991.07,29.3
1991.08,33.5
1991.09,37.9
1991.10,44
1991.11,51.6
1991.12,60.3
1992.01,71.3
1992.02,85.2
1992.03,102.3
1992.04,122.8
1992.05,149.3
1992.06,182.8
1992.07,224.3
1992.08,275.7
1992.09,341
1992.10,422.5
1992.11,523.8
1992.12,641
1993.01,791.9
1993.02,982.5
1993.03,1257.5
1993.04,1602.1
1993.05,2053.6
1993.06,2629.5
1993.07,3424.9
1993.08,4517.7
1993.09,6025.3
1993.10,8007.5
1993.11,10689.9
1993.12,14097.1
1994.01,18495.9
1994.02,24082
1994.03,32307.8
1994.04,44768.5
1994.05,64791
1994.06,97304.2
1994.07,137250.8
1994.08,179974.6
1994.09,222232.5
1994.10,265396.1
1994.11,308529.4
1994.12,349204.7
1995.01,391670.5
1995.02,435832
1995.03,487335.9
1995.04,532296.6
1995.05,568142.9
1995.06,591742.5
1995.07,609742.5
1995.08,626819.5
1995.09,643594.1
1995.10,661787.3
1995.11,683624.1
1995.12,705991.6
1996.01,723096.2
1996.02,735343.8
1996.03,738307.4
1996.04,744537
1996.05,757675.1
1996.06,772051.9
1996.07,788233.8
1996.08,802082.2
1996.09,813215.9
1996.10,826987.9
1996.11,839674.2
1996.12,854763.6
1997.01,868213
1997.02,877083.6
1997.03,884557.4
1997.04,894114.7
1997.05,902736.7
1997.06,912836.2
1997.07,919924.9
1997.08,927258.7
1997.09,937501.4
1997.10,947598.5
1997.11,952539.5
1997.12,952089.2
1998.01,953870.4
1998.02,958625.8
1998.03,968672.8
1998.04,976262.5
1998.05,983359.2
1998.06,987719.2
1998.07,992599
1998.08,996837.8
1998.09,999584
1998.10,999589.6
1998.11,1000516
1998.12,1002351
1999.01,1003923.4
1999.02,1009024.4
1999.03,1017318.3
1999.04,1023891.3
1999.05,1027906.8
1999.06,1034091.4
1999.07,1038383.3
1999.08,1044295.4
1999.09,1050173.6
1999.10,1058743.2
1999.11,1071989.7
1999.12,1087710.5
2000.01,1099350.8
2000.02,1110192.1
2000.03,1113969.4
2000.04,1117606.6
2000.05,1127110.5
2000.06,1138049
2000.07,1150228.9
2000.08,1163123.4
2000.09,1172819.2
2000.10,1183898
2000.11,1192012.9
2000.12,1199092.1
2001.01,1209046.1
2001.02,1218911
2001.03,1234635
2001.04,1250830.7
2001.05,1263306
2001.06,1265570
2001.07,1272918.6
2001.08,1280805.4
2001.09,1289198.6
2001.10,1298386.5
2001.11,1308590.4
2001.12,1315755.5
2002.01,1325599.6
2002.02,1335441.4
2002.03,1345582.3
2002.04,1358396.3
2002.05,1370746.6
2002.06,1389221.6
2002.07,1405319.2
2002.08,1420054.7
2002.09,1436491.7
2002.10,1453478.1
2002.11,1471562.8
2002.12,1488787.3
2003.01,1503589.9
2003.02,1523486.4
2003.03,1543732.2
2003.04,1564734.4
2003.05,1580787.7
2003.06,1595356.7
2003.07,1614470.7
2003.08,1631490
2003.09,1654912
